permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
10107,2015-01-02,0.006674,0.006674,46.76,27913852.0,8218000.0,384273680.0,MICROSOFT CORP,MSFT,012141,2014-12-31,174848.0,82969.0,91879.0,26470.0,5863.0,381726.1,46.45,1996640310.0,14517.32829618436,4182.388576279672,65542.15930411052,384264770.0,14516.991688704193,-1.6492119013052782,-1.8315663518198249,-1.6494591168726835,-0.6159932792298516,-1.4365576623069096,dotcom
76076,2015-01-02,-0.000539,-0.00737,27.61,22926812.0,5113588.0,141186164.68,CISCO SYSTEMS INC,CSCO,020779,2014-10-31,103978.0,47263.0,56708.0,12245.0,1828.0,125017.23,24.47,1728573620.0,11530.107364638628,2489.7045333991678,77235.31984682714,141176719.68,11529.336029399756,-1.4523573030743584,-1.3201246793305612,-1.4526349216737882,0.4980652192833758,-0.931762921198833,dotcom
77178,2015-01-02,-0.000673,-0.000673,74.28,6667808.0,1654000.0,122859120.0,QUALCOMM INC,QCOM,024800,2014-12-31,48447.0,9628.0,38823.0,7099.0,1972.0,122941.82,74.33,675937215.0,17306.53894914777,3164.596244494243,62301.78498985801,122829925.0,17302.426398084237,0.18760950608571692,-0.6630768280923486,0.1859000384215691,-0.3042533976715881,-0.14845517031416267,dotcom
78050,2015-01-02,-0.039336,-0.039336,1.69,6118.0,14992.0,25336.48,BOOKS-A-MILLION INC,BAMM,025896,2014-10-31,326.959,232.584,91.841,101.156,-6.892,21.2886,1.42,902221.0,250.46937403614217,275.87330277327123,-3676.215902495647,25477.222999999998,251.8607200759223,-1.3691861860612144,-2.055242588043719,-1.3617279681938388,0.33885319538626674,-1.1118258867281263,dotcom
84788,2015-01-02,-0.005897,-0.005897,308.51999,2788101.0,464384.0,143271747.03616,AMAZON.COM INC,AMZN,064768,2014-12-31,54505.0,43764.0,10741.0,29329.0,214.0,144312.75,310.35,265879564.0,4884.985749127484,13338.771719221673,669494.145028785,143304770.03616,4886.111699551979,-2.4455821458127276,-0.5071612857743338,-2.4455621533712466,0.10482808683579767,-1.3233693745306276,dotcom
87227,2015-01-02,-0.011583,-0.011583,5.12,334864.0,26674.0,136570.88,EGAIN CORP,EGAN,124036,2014-12-31,50.001,45.104,4.897,18.903,-5.461,138.1713,5.18,4260102.0,7224.825689044068,27888.682867061467,-25008.401391686504,136611.087,7226.952705919696,-0.7082621013821109,0.8109619332098217,-0.7082384826832252,0.193282334280528,-0.1030640791437466,dotcom
87264,2015-01-02,-0.002714,-0.002714,47.77,81921.0,21279.0,1016497.8300000001,INTERACTIVE INTELLIGENCE GRP,ININ,124038,2014-12-31,338.723,167.993,170.73,92.556,-29.863,1019.2641,47.9,9028641.0,10982.516854660964,5953.832542611141,-34038.70441683689,1016495.0930000001,10982.48728337439,0.8947012501082073,0.557451708812576,0.8943220535340402,1.281575754324094,0.9070126916947294,dotcom
87299,2015-01-02,0.004606,0.004606,63.25,851990.0,178301.0,11277538.25,AKAMAI TECHNOLOGIES INC,AKAM,125595,2014-12-31,4001.546,1056.211,2945.335,536.295,97.107,11225.831,62.96,103011018.0,21028.609720396424,3828.949253650264,116135.17305652528,11275649.125999998,21025.087174036675,0.9065128030638798,0.37176850585841675,0.9059770358634737,-0.38004678676105175,0.4510528895061796,dotcom
59328,2015-01-02,0.001929,0.001929,36.36,23605607.0,4748000.0,172637280.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11727.27939678011,3090.2583012619707,47155.77164709096,172616594.0,11725.874193329257,0.26170856195712466,0.9120660800176603,0.2615382671056459,0.1494863635988237,0.39619981816981364,dotcom
87510,2015-01-02,-0.007899,-0.007899,12.56,39094.0,17014.0,213695.84,PFSWEB INC,PFSW,126718,2014-12-31,140.746,100.641,40.105,78.681,2.104,215.3972,12.66,3609139.0,2715.977682032511,5328.40892656776,101566.46387832699,213756.376,2716.7470672716413,0.39878967579819014,1.3631974788541918,0.3989929877446683,0.8437770152280262,0.7511892894062691,dotcom
