permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
93436,2010-06-29,,,23.89,19088009.0,93109.0,2224374.0100000002,TESLA INC,TSLA,184996,2010-03-31,145.32,105.392,-279.297,20.812,-29.519,,,,106879.3969825101,-7964.188695188276,-75353.9757444358,2224758.699,106897.88098212569,2.761026741281564,-1.1633797227188085,2.7614348597108824,-0.3071052265475377,1.0129941629315249,ev
93436,2010-06-30,-0.002511,-0.002511,23.83,17607305.0,93198.0,2220908.34,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,78187.23252948423,-7169.424065854249,-57660.47044162317,2221356.639,78203.01492694947,1.6065998599519926,-1.1279524103554612,1.6069823514463264,-0.2944901839942968,0.44778490426214024,ev
93436,2010-07-01,-0.078473,-0.078473,21.96,8379501.0,93198.0,2046628.08,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,72051.68385847562,-6606.821338067954,-53135.70838850377,2047076.379,72067.46625594085,1.3597365628621387,-1.1028739131021827,1.360136816805908,-0.29126413777753507,0.3314338321970822,ev
93436,2010-07-02,-0.125683,-0.125683,19.2,5255750.0,93198.0,1789401.5999999999,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,62996.00774511529,-5776.455814704221,-46457.44995716176,1789849.8989999997,63011.79014258052,0.9953821778525139,-1.0658596604716755,0.9958086480318142,-0.2865027005806034,0.1597071162080123,ev
93436,2010-07-06,-0.160938,-0.160938,16.11,7011230.0,93198.0,1501419.78,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,52857.5877486358,-4846.807457025261,-38980.70410468105,1501868.079,52873.370146101035,0.5874636815917387,-1.0244197906788253,0.5879195025564707,-0.2811719611101256,-0.032552141910185364,ev
93436,2010-07-07,-0.019243,-0.019243,15.8,7040719.0,93198.0,1472528.4000000001,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,51840.464706917795,-4753.541764183682,-38230.60986058104,1472976.699,51856.24710438303,0.5465398195073244,-1.0202623927384422,0.5469985850492357,-0.28063716200467315,-0.0518402875466388,ev
93436,2010-07-08,0.105063,0.105063,17.46,7835892.0,93198.0,1627237.08,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,57286.99454321423,-5252.964506496652,-42247.24355479398,1627685.379,57302.776940679454,0.7656805003464466,-1.0425245881611385,0.7661234981524947,-0.28350092495645085,0.051444621345338004,ev
93436,2010-07-09,-0.003436,-0.003436,17.4,4131591.0,93198.0,1621645.2,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,57090.132019010736,-5234.9130820757,-42102.06402367785,1622093.4989999998,57105.914416475964,0.7577597528462372,-1.0417199304952578,0.758203320570449,-0.28339741545216973,0.04771143186731468,ev
93436,2010-07-12,-0.020115,-0.020115,17.05,2247990.0,93198.0,1589025.9000000001,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,55941.76729449041,-5129.613106286822,-41255.18342550043,1589474.199,55957.54969195564,0.7115553924283503,-1.0370260941109544,0.7120022846751838,-0.28279361001052983,0.025934493245512474,ev
93436,2010-07-13,0.06393,0.06393,18.14,2728047.0,93198.0,1690611.72,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,59518.10315085372,-5457.547316600759,-43892.61157411013,1691060.0189999999,59533.88554831895,0.8554489720154843,-1.051644041707785,0.8558855107490103,-0.28467403267163693,0.09375410209626817,ev
